Consultor;Genero;Data_Contratacao;Cliente_Empresa;Tutor/Recrutador;Avaliacao_Desenvolvimento
Giovanna Carvalho Martins;F;06/05/2018;Itaú;Ailton;3
Rodrigo Cavalcanti Sousa;M;02/28/2019;Magazine Luiza;Yolanda;2,5
Tomás Cavalcanti Barbosa;M;03/05/2019;JP Morgan Chase;Bárbara;2
Thaís Silva Alves;F;04/04/2019;Aeon;Juliana;4,5
Davi Santos Correia;M;02/27/2019;DOW;Viviane;2,5
Bruno Ribeiro Alves;M;02/23/2018;DOW;Viviane;2
Douglas Costa Melo;M;03/25/2018;DOW;Viviane;3
Júlia Pereira Cardoso;F;07/19/2018;DOW;Viviane;2
Kai Cunha Dias;M;08/31/2018;DOW;Aline;2,5
Marisa Goncalves Dias;F;12/01/2018;DOW;Viviane;4
André Pereira Cavalcanti;M;07/08/2018;Natura;Viviane;4,5
Aline Correia Costa;F;10/18/2018;DOW;Aline;4
Kai Silva Sousa;M;04/09/2018;Sodexo;Ailton;3
Erick Fernandes Melo;M;10/11/2018;Braskem;Bárbara;2
Tomás Sousa Santos;M;03/05/2018;DOW;Juliana;4,5
Kauê Rocha Almeida;M;03/08/2018;DOW;Bárbara;3,5
Eduardo Barbosa Santos;M;11/30/2018;DOW;Yolanda;3,5
Murilo Fernandes Sousa;M;07/15/2018;DOW;Bárbara;3
Paulo Pereira Araujo;M;06/09/2018;DOW;Viviane;2,5
Larissa Ferreira Barbosa;F;05/20/2018;DOW;Aline;4
Isabela Cavalcanti Carvalho;F;03/31/2018;DOW;Viviane;3
Fernanda Sousa Castro;F;06/07/2018;DOW;Aline;3,5
Antônio Sousa Alves;M;03/16/2019;DOW;Juliana;3
Ana Souza Sousa;F;08/16/2018;DOW;Aline;2,5
André Sousa Ribeiro;M;08/26/2018;DOW;Bárbara;4
Vinícius Pereira Martins;M;10/30/2018;DOW;Viviane;2
Ryan Fernandes Lima;M;03/19/2018;DOW;Bárbara;4,5
Gabrielle Costa Castro;F;10/08/2018;EY;Viviane;3,5
Felipe Cunha Alves;M;03/22/2018;DOW;Yolanda;4
Vitór Souza Correia;M;10/18/2018;DOW;Viviane;2,5
Erick Castro Melo;M;02/05/2019;DOW;Ailton;2,5
Raissa Castro Carvalho;F;11/15/2018;SAP;Yolanda;4,5
Melissa Goncalves Pinto;F;05/03/2018;DOW;Bárbara;3,5
Nicolas Ferreira Martins;M;11/05/2018;DOW;Aline;3
Luís Silva Santos;M;02/15/2019;DOW;Ailton;2
Diogo Lima Santos;M;04/01/2018;DOW;Bárbara;4,5
Douglas Carvalho Castro;M;10/15/2018;DOW;Viviane;2
Danilo Fernandes Cunha;M;04/12/2018;DOW;Aline;2
Paulo Barbosa Silva;M;02/21/2018;Bloomberg;Juliana;4,5
Rodrigo Ferreira Martins;M;04/28/2018;DOW;Aline;4
Renan Ribeiro Pereira;M;10/10/2018;DOW;Yolanda;4,5
Júlio Pinto Ferreira;M;03/04/2018;SAP;Viviane;3
Lucas Souza Costa;M;02/27/2018;Bloomberg;Yolanda;2,5
Murilo Rocha Pinto;M;05/26/2018;DOW;Yolanda;2,5
Nicolas Carvalho Martins;M;12/21/2018;DOW;Ailton;4
Alex Cardoso Almeida;M;03/28/2018;SAP;Viviane;3,5
Daniel Cardoso Costa;M;01/19/2019;DOW;Bárbara;2
Luis Araujo Carvalho;M;07/30/2018;DOW;Juliana;2
Thiago Lima Dias;M;07/18/2018;DOW;Viviane;3,5
Marcos Cardoso Melo;M;09/30/2018;Bloomberg;Viviane;4
Ryan Ferreira Fernandes;M;06/19/2018;DOW;Aline;4,5
Felipe Souza Lima;M;09/26/2018;DOW;Bárbara;3,5
Pedro Costa Barbosa;M;12/30/2018;DOW;Juliana;4
Luis Silva Barros;M;07/29/2018;Bloomberg;Bárbara;3
Rodrigo Goncalves Azevedo;M;10/25/2018;DOW;Juliana;3,5
